ImagePath,Caption,Label,skin_type_gt,gender_gt,age,smile,facialHair_moustache,facialHair_beard,facialHair_sideburns,glasses,hair_bald,hair_invisible,makeup_eyeMakeup,makeup_lipMakeup,occlusion_foreheadOccluded,occlusion_eyeOccluded,occlusion_mouthOccluded,accessories_headWear,accessories_glasses,accessories_mask,blur_blurLevel,exposure_exposureLevel,noise_noiseLevel,ImagePath_rect_left,ImagePath_rect_top,ImagePath_rect_width,ImagePath_rect_height,face_light_gt,hair_length_gt,long_medium_hair_gt,glasses_gt
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\0.jpg,Image Description,TRUE,lighter,male,41,1,0.6,0.6,0.4,NoGlasses,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,34,47,65,65,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\1.jpg,Image Description,TRUE,lighter,male,50,0.313,0.1,0.1,0.1,NoGlasses,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,35,49,70,70,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\10.jpg,Image Description,TRUE,lighter,male,47,0.946,0.1,0.1,0.1,ReadingGlasses,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,30,50,66,66,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\100.jpg,Image Description,TRUE,lighter,male,53,0.006,0.1,0.1,0.1,ReadingGlasses,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.98,0,low,goodExposure,low,31,48,66,66,yes,short_hair,FALSE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\101.jpg,Image Description,TRUE,lighter,male,57,1,0.1,0.1,0.1,ReadingGlasses,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.97,0,low,goodExposure,medium,22,43,70,70,yes,short_hair,FALSE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\102.jpg,Image Description,TRUE,lighter,male,68,0.011,0.4,0.1,0.1,NoGlasses,0.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,24,51,70,70,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\103.jpg,Image Description,TRUE,lighter,male,58,1,0.1,0.1,0.1,ReadingGlasses,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.97,0,low,goodExposure,low,38,41,64,64,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\104.jpg,Image Description,TRUE,lighter,male,58,0.988,0.1,0.1,0.1,NoGlasses,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,medium,goodExposure,low,24,52,64,64,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\105.jpg,Image Description,TRUE,lighter,male,41,0.938,0.1,0.1,0.1,NoGlasses,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,27,51,60,60,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\106.jpg,Image Description,TRUE,lighter,male,55,0.991,0.1,0.1,0.1,ReadingGlasses,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,low,goodExposure,low,36,48,72,72,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\107.jpg,Image Description,TRUE,lighter,male,51,0.974,0.4,0.4,0.1,ReadingGlasses,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.97,0,low,goodExposure,low,35,53,58,58,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\108.jpg,Image Description,TRUE,lighter,male,38,0.148,0.1,0.1,0.1,NoGlasses,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,36,57,63,63,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\109.jpg,Image Description,TRUE,lighter,male,33,0.861,0.1,0.1,0.1,ReadingGlasses,0.02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,39,44,59,59,yes,short_hair,FALSE,yes_thin
